O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
O,R,A
